Comment,Designator,Footprint,LCSC
"Conn_01x03","J2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Conn_01x02","J3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Conn_02x03_Odd_Even","J4","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"Conn_02x02_Top_Bottom","J6,J7,J8,J9,J10,J12,J13,J14,J15,J23,J24,J25","locallib:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal_wCable_housing_spare_pin",""
"SolderJumper_3_Open","JP_LED1,JP_LED2","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels",""
"SK6812MINI","LED1,LED2,LED3,LED4","locallib:LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_TriangleMark_Thick",""
"Logo_Base","LOGO1","Jones.local:Sandy_logo_w55",""
"5.1k","R1,R2","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C27834"
"22","R3,R4","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17561"
"10k","R5,R6","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17414"
"4.7k","R8,R9","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17673"
"5.2x5.2mm","ResetSW1","Button_Switch_SMD:SW_SPST_TL3342",""
"JS5208","S1,S2","locallib:SW_JS5208_add_MP_hole",""
"SW_Push","SW_;1,SW_<1,SW_>1,SW_A1,SW_C1,SW_D1,SW_DOWN1,SW_E1,SW_F1,SW_I1,SW_J1,SW_K1,SW_L1,SW_M1,SW_N1,SW_O1,SW_RIGHT1,SW_S1,SW_UP1,SW_V1,SW_W1,SW_X1,SW_Z1,SW_'1,SW_G1,SW_H1,SW_P1,SW_Q1,SW_R1,SW_U1,SW_-1,SW_1,SW_=1,SW_ESC1,SW_T1,SW_Y1,SW_[1,SW_\1,SW_]1,SW_`1,SW_;2,SW_2,SW_3,SW_4,SW_5,SW_6,SW_7,SW_8,SW_9,SW_10,SW_CAPS1u1,SW_CenterL1u1,SW_CenterR1u1,SW_Fn1u1,SW_LSFT1u1,SW_LSFT1u2,SW_R4CenterC1,SW_R4CenterL1,SW_R4CenterR1,SW_L2-1u1","MX_Alps_Hybrid:MXOnly-1U-NoLED",""
"SW_Push","SW_CTL1.25u1,SW_ENT1.25u1,SW_LALT1.25u1,SW_LWIN1.25u1,SW_RALT1.25u1,SW_ROPT1.25u1,SW_TAB1.25u1","MX_Alps_Hybrid:MXOnly-1.25U-NoLED",""
"SW_Push","SW_CTL1.5u1,SW_ENT1.5u1,SW_BS1.5u1,SW_TAB1.5u1","MX_Alps_Hybrid:MXOnly-1.5U-NoLED",""
"SW_Push","SW_LSFT1.75u1","MX_Alps_Hybrid:MXOnly-1.75U-NoLED",""
"SW_Push","SW_LSFT2u1","MX_Alps_Hybrid:MXOnly-2U-NoLED",""
"SW_Push","SW_LSPC2u1,SW_RSPC2u1","MX_Alps_Hybrid:MXOnly-2U-ReversedStabilizers-NoLED",""
"RotaryEncoder_Switch","SW_RE_L1,SW_RE_R1,SW_RE_L2,SW_RE_R2","locallib:RotaryEncoder_Alps_EC11K-Switch_Vertical_H20mm_NPTH_MP",""
"ATmega32U4-MU","U1","Housings_DFN_QFN:QFN-44-1EP_7x7mm_Pitch0.5mm","C45874"
"24LC64","U2","Package_SO:SO-8_3.9x4.9mm_P1.27mm","C79988"
"16MHz","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","C13738"
